,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
455,-87.2145795,30.4367172,,2300blk dr martin luther king jr,,PENSACOLA,ESCAMBIA,fl,32503,000S009020002113,ce6baceea59fa444
456,-87.2137458,30.4292785,1513,dr martin luther king jr 1/2,,PENSACOLA,ESCAMBIA,fl,32503,000S009020019098,4b4e3ae2f2f5f197
457,-87.2175747,30.448054,3455,n dr martin luther king dr,,PENSACOLA,ESCAMBIA,fl,32503,042S303001050001,9feb9e4690e39388
458,-86.57112940000002,30.7553488,398,martin luther king blvd w,,CRESTVIEW,OKALOOSA,fl,32536,17-3N-23-2490-0011-0040,f33fd1a9340277bb
459,-86.5688426,30.7561064,157,martin luther k blvd,,CRESTVIEW,OKALOOSA,fl,32536,17-3N-23-2490-0018-0140,26e0f0d5a6da1d2e
460,-86.569141,30.7566505,136,martin luther king jr ave a & b,,CRESTVIEW,OKALOOSA,fl,32536,17-3N-23-2490-0013-077A,931569b0110f0afb
461,-86.5784503,30.752768,1005,martin luther king jr ave e-4,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000E-0040,3eb189e48a0e1bba
462,-86.5788832,30.7527228,1005,martin luther king jr ave f-1,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000F-0010,ec956b5c8cfbb0d7
463,-86.5786991,30.752744099999997,1005,martin luther king jr ave e-8,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000E-0080,d6f15efc61e4d229
464,-86.5786304,30.7527507,1005,martin luther king jr ave e-7,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000E-0070,50311bb0a20d7d5b
465,-86.5785608,30.752757399999997,1005,martin luther king jr ave e-6,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000E-0060,b11e8d11b17a3bba
466,-86.57850090000001,30.7527631,1005,martin luther king jr ave e-5,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000E-0050,dbbe5bc149847dfc
467,-86.5788869,30.752334,1005,martin luther king jr ave f-8,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000F-0080,cba5ad19c0e8ce8f
468,-86.57888630000001,30.7523937,1005,martin luther king jr ave f-7,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000F-0070,42ff4fadb3e62777
469,-86.5788858,30.7524538,1005,martin luther king jr ave f-6,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000F-0060,5272f4e501ee2177
470,-86.5788853,30.752506,1005,martin luther king jr ave f-5,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000F-0050,b4dde26fd2a44532
471,-86.5788849,30.752550399999997,1005,martin luther king jr ave f-4,,CRESTVIEW,OKALOOSA,fl,32536,18-3N-23-1290-000F-0040,6a1248d27fcd589c
